,,,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,,
,,,,,,,,,,,,,,,,,o,,,,,,,,o,,
,,,,,,,,,,,,,,,,,o,,,,,,,,o,,
,,,,,,,,,,,,,,,,,o,,,,,,,,o,,
,,,,,,,,,,,,,,,,,o,,,,,,,,o,,
,,,,,,,,,,,,,,,,,o,,,,,,,,o,,
,,,,,,,,,,,,,,,,,o,,,,,,,,o,,
,,,,,,,,,,,,,,o,,,o,,,,,,,,o,,
,,,,,,,,,,,,,,o,,,o,,,,,,,,o,,
,,,,,,,,,,,,,,o,,,o,,,,,,,,o,,
,,,,,,,,,,R,o,,,o,,,o,,,,,,,,o,,
,,,,,,,,,,,,,,o,,,o,,o,o,o,o,o,,o,,
,,,,,,,,,,,,,,o,,o,o,,o,,,,,,o,,
,,,,,,o,o,o,,,,,,o,,,,,o,,,,,,o,,
,,,,,,,,,,,,,,o,,,,o,o,,,,,,o,,
,,,,,,,,,,,o,o,o,o,,,,o,o,,,,,,o,,
,,,,,,,,,,,,,,o,,o,o,o,o,,,g,g,,o,,
,,,,,,,,,,,,,,o,,o,o,o,o,,,g,g,,o,,
,,,,,,,,,,,,,,o,,o,o,o,o,,,g,g,,o,,
o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,R,o,o,o,o,o,o,o,o,R,o,o,o
"💀不能碰到“红色块”哦，碰到就WA了"
