,,,,,,,,,,o,,,,,,,,,,,,,o
,,,,,,,,,,o,,,,,,,,,,,,,o
,,,,,,,,,,o,,,,,,,,,,,,,o
,,,,,,,,,,o,,,,,,,,,,,,,o
,,,,,,,,,,o,,,,,,,,,,,,,o
,,,,,,,,,,o,,,,,,,,,,,,,o
,,,,,,,,,,o,,,,,,,,,,,,,o
,,,,,,,,,,o,R,R,o,,,,,,,,,,o
,,,,,,,,,,,,,o,,,,,,,,,,o
,,,,,,,,,,,,,o,,,,,,,,,,o
,,,,,,,,,,,,,o,,,,,,,,,,o
,,,,,,,,,o,o,,,o,,,,,,,,,,o
,,,,,,,,,,,,,o,,,,,,,,,,o
,,,,,,,,,,,,,o,,,,,,,,,,o
,,,,,,,o,o,,,,,o,,,,,,,,,,o
,,,,,,,,,,,,,o,,,,,,,,,,o
,,,,,,,,,,,,,o,,,,,,,,,,o
,,,,,,,,,o,o,,,o,,,,,,,,,,o
,,,,,,,,,,,,,o,,,,,,,,,,o
,,,,,,,,,,,,,o,,,,o,,g,g,,,o
,,,,,,,o,o,,,,,o,,,,d,,g,g,,,o
,,,,,,,,,,,,,o,,,,d,,g,g,,,o
,,,,,,,,,,,R,,o,,,,d,,o,o,,,o
,,,,,,,,,o,o,R,,,,,,d,,,,,,o
,,,,,,,,,o,o,R,,,,,,o,,,,,,o
,,,,,,,,,,,R,,,,,,,,,,,,o
,,,,,,o,o,o,,,R,,,R,o,,,,,,,,o
,,,,,,o,o,o,,,R,,,o,o,,,,,,,,o
o,o,o,o,R,R,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o
