,,,,,,,,o,o,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,o,o,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,o,o,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,
o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o,o,o,d,o,,,,,,,,,,,,,,,,,,,,,,,,,,,
,m,,,,m,,,,,,,,,,o,,,,,,,,,,,,,,,,
,,o,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,
,,o,g,g,o,,,,,,,,,,,,,,,,,,,,,,,,,,
,,o,g,g,o,,,,,,,,,,,,,,,,,,,,,,,,,,
,,o,o,o,o,,,,,,,,,,,,o,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,o,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,o,o,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,o,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,o,o,,,,,,,,,,,
,,,o,o,o,o,R,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,o,R,,,,,,,,,,o,,,,,,,,,,,,,,
,,,,,o,,R,,,,,,,,,o,o,,,,,,,,,,,,,,
,,,,,o,,R,,R,o,,,,,,,,,,,,,,,,,,,,,
,,,,o,,,,d,o,,,,,,,,,,,,,,,,,,,,,,
,,,,o,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,o,o,,,,,o,o,,,,,,,,,,,,,,,,,
,,,,,,,o,,,,,o,o,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,o,o,,J,,,,,,,,,,,,,,,,,,,,,,,
,o,,,,o,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,R,R,R,o,o,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
