o,,o,,,,,,,,g,,,,,,,,,,,,,,,,,
o,,o,,,,,,,,o,,,,,,,,,,,,,,,,,
o,,o,,,,,,,,,,,,,,,,,,,,,,,,,
o,,o,,,,,,,,,,,,,,,,,,,,,,,,,
o,,o,,,,,,,,,,,,,,,,,,,,,,,,,
o,,o,,,,,,j,,,,,,,,,,,,,,,,,,,
o,,o,,,d,,,,,,,,,,,,,,,,,,,,,,
o,,o,,,j,,,,,,,,,,,,,,,,,,,,,,
o,,o,,,j,,,,,,,,,,,,,,,,,,,,,,
o,,o,,,o,,,,,,,,,,,,,,,,,,,,,,
o,,o,,,,,,,,,,,,,,,,,,,,,,,,,
o,,o,,,,,o,o,o,,,,,,,,,,,,,,,,,,
o,,o,,,,,,,,,,,,,,,,,,,,,,,,,
o,,o,,,,,,,,,,,,,,,,,,,,,,,,,
o,,,,,,,,,,,,,,,,,,,,,,,,,,,
o,,,,,,,,,,,,,,,,,,,,,,,,,,,
o,,,,o,,,,,,,,,,,,,,,,,,,,,,,
o,,,,,,,,,,,,,,,,,,,,,,,,,,,
o,,,,,,,,,,,,,,,,,,,,,,,,,,,
o,,,,,,,,,,,,,,,,,,,,,,,,,,,
o,,,o,,,,,,,,,,,,,,,,,,,,,,,,
o,,,o,,,,,,,,,,,,,,,,,,,,,,,,
o,,,o,,,,,,,,,,,,,,,,,,,,,,,,
o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o
